A13 25 A32 A49 9195 A61 A73 1 A93 A101 2 A122 41 A143 A152 1 A173 1 A191 A201 1
A14 41 A32 A41 3471 A65 A74 3 A93 A101 4 A124 34 A143 A152 1 A173 2 A191 A201 1
A11 52 A34 A49 3379 A63 A74 2 A93 A101 3 A121 65 A143 A152 2 A173 1 A191 A201 2
A11 58 A32 A41 595 A64 A75 1 A92 A103 3 A121 23 A141 A152 1 A174 1 A192 A201 2
A11 46 A33 A49 663 A61 A73 4 A93 A101 3 A122 25 A143 A152 3 A173 1 A192 A201 2
A11 51 A32 A49 660 A61 A73 2 A92 A101 2 A122 34 A141 A152 1 A173 1 A192 A201 2
A14 5 A32 A42 1333 A61 A74 2 A93 A101 2 A122 36 A143 A152 1 A172 1 A192 A201 1
A14 24 A32 A40 9004 A64 A75 4 A93 A101 1 A122 19 A143 A151 3 A173 1 A192 A201 1
A12 18 A34 A46 1876 A61 A75 4 A93 A101 4 A122 51 A143 A152 3 A174 1 A191 A201 1
A12 38 A34 A49 11628 A61 A72 1 A91 A101 1 A124 37 A143 A152 1 A173 1 A191 A201 2
A11 60 A34 A49 2179 A61 A73 4 A93 A101 3 A122 37 A143 A152 3 A173 2 A192 A201 1
A14 18 A32 A49 1406 A65 A74 1 A93 A101 4 A122 31 A143 A152 3 A174 1 A192 A201 1
A14 16 A32 A49 1495 A65 A73 2 A92 A102 3 A121 37 A143 A153 2 A174 1 A191 A202 1
A14 13 A32 A41 2594 A61 A73 3 A93 A101 4 A122 52 A143 A152 2 A173 1 A191 A201 1
A14 45 A34 A49 731 A61 A73 1 A93 A103 3 A124 40 A143 A152 1 A173 1 A191 A201 1
A14 54 A32 A49 4314 A61 A73 3 A92 A101 3 A124 27 A143 A151 3 A174 1 A191 A201 1
A12 24 A32 A49 661 A65 A73 1 A92 A101 1 A124 26 A143 A152 2 A172 1 A191 A201 1
A11 62 A32 A40 2694 A61 A72 2 A92 A101 1 A124 19 A143 A152 2 A173 1 A191 A201 2
A14 22 A32 A42 1530 A65 A75 3 A92 A103 4 A124 21 A143 A152 2 A173 1 A191 A201 1
A14 18 A32 A40 507 A61 A73 2 A92 A101 1 A124 29 A142 A152 2 A173 1 A191 A201 1
A11 34 A32 A42 4012 A65 A75 1 A92 A101 4 A121 37 A143 A152 3 A173 1 A192 A202 2
A11 65 A32 A42 1000 A61 A73 2 A92 A101 4 A122 26 A141 A152 3 A174 1 A191 A201 2
A14 35 A32 A42 5520 A61 A73 2 A93 A101 2 A121 31 A143 A152 2 A173 1 A191 A201 1
A11 65 A34 A42 2100 A63 A73 3 A93 A103 1 A124 48 A143 A152 1 A173 1 A191 A201 2
A12 28 A32 A49 11073 A63 A73 2 A92 A101 1 A123 31 A143 A153 3 A173 1 A192 A201 2
A14 53 A32 A49 4609 A61 A75 3 A91 A101 2 A121 27 A143 A152 2 A173 2 A191 A201 2
A14 24 A32 A46 3489 A61 A73 3 A92 A101 1 A122 19 A143 A152 3 A173 2 A192 A201 1
A13 32 A32 A49 819 A61 A75 4 A93 A101 2 A124 27 A141 A152 3 A173 2 A191 A201 1
A12 43 A34 A40 1118 A61 A72 1 A92 A101 2 A124 32 A143 A152 3 A173 1 A191 A201 2
A12 60 A32 A49 1656 A61 A71 2 A93 A101 4 A123 25 A142 A152 2 A173 1 A192 A201 2
A12 69 A32 A49 1833 A61 A74 2 A91 A101 4 A123 36 A143 A152 2 A174 1 A192 A201 2
A14 65 A32 A42 1062 A64 A73 4 A92 A101 4 A122 64 A141 A152 3 A173 1 A192 A201 1
