amount,velocity_24h,account_age_days,structuring_score,avg_monthly_balance,num_previous_transactions,customer_age,hour_of_day,country,high_risk_country,customer_type,transaction_type,suspicious
3487.089204579978,2,97.01019010544518,0.09620366175890702,3231.9390033783966,27,21,8,UK,0,retail,ach,0.0
14.075010072344572,4,858.8844317556731,0.32421752607120524,1196.86221037204,24,61,9,US,0,retail,wire,0.0
39.489104792545504,6,564.2601204976617,0.12315369918440347,360.04809358567354,16,47,12,US,0,retail,wire,0.0
66.84847874444598,4,151.0020586470727,0.03669017929931692,747.8267577347191,20,34,8,US,0,retail,ach,0.0
334.11976520315324,2,290.6457327175762,0.12317446831349668,1700.4863870948973,33,46,15,US,0,business,check,0.0
16.629282446919817,3,449.13477368035444,0.1310813407488245,3485.8027098652547,21,23,15,US,0,retail,ach,0.0
94.95677966296822,1,494.7858884418692,0.16671803294718587,19064.782773767667,20,42,15,US,0,retail,wire,0.0
83.44469979043004,3,381.3711159468601,0.11597355113292945,5093.550076317805,24,20,18,US,0,retail,ach,0.0
185.8274594826686,4,80.5045870772515,0.32989988652469826,250.93470245340882,19,64,9,US,0,retail,ach,0.0
61.35510947131829,7,126.94491376114664,0.2884580507709218,2795.1862434998748,27,41,11,DE,0,retail,ach,0.0
928.1687393687513,4,212.20342785053572,0.2893606721240398,8149.531339072018,24,18,10,UK,0,retail,wire,0.0
133.16874034168552,3,211.23760143497478,0.20670489175776682,15930.021964338037,22,52,14,US,0,retail,ach,0.0
11.027719993846919,4,330.8301056523789,0.2108753110649761,2161.6632558192664,26,43,11,US,0,business,check,0.0
362.2590903077722,1,79.20979514226602,0.14240989605843551,2974.9739210977345,21,35,16,UK,0,retail,wire,0.0
114.54546714620426,6,40.3564544923436,0.1675535742051762,2032.886297043652,23,54,13,DE,0,retail,wire,0.0
17.52935150259065,1,553.5390411327778,0.3601878107173338,2292.949744416976,22,46,12,US,0,retail,ach,0.0
172.28891382095162,1,115.38439422717775,0.1610210183520463,599.9796988582113,16,59,17,US,0,business,ach,0.0
157.7637202396701,5,237.44980852352504,0.3786729598726052,892.3795030117175,10,18,13,VG,1,retail,wire,1.0
121.32686125640201,4,215.29392180256298,0.13640455307740343,919.5576237496972,17,18,10,UK,0,retail,ach,0.0
8978.900020453304,10,266.07804324755364,0.14568966278773102,1300.139597330271,18,69,8,US,0,retail,ach,0.0
2392.2743279803067,9,140.9270467816389,0.7943550430388986,6239.010210589255,12,40,9,US,0,retail,ach,1.0
265.7285151576552,3,1188.5058901064933,0.037361554832123445,7157.272721954829,25,46,12,CA,0,retail,check,0.0
226.09862328416,5,261.3356237180528,0.17169659916339033,25523.05886320389,14,50,17,CA,0,retail,wire,0.0
8891.48217809924,7,58.76918697417012,0.6303897724286166,4147.517553576713,26,32,13,US,0,retail,wire,0.0
9.007738936064815,2,505.6679068019216,0.4403547779146329,1122.9513086805923,18,39,13,CA,0,retail,ach,0.0
3079.511411987424,4,401.1348539108958,0.2750908411503178,241.62791482672418,9,24,9,VG,1,retail,wire,1.0
175.5323539532713,3,1032.7499870559025,0.19913343565755623,9378.649521681764,23,59,14,CA,0,business,wire,0.0
8654.61019852999,6,155.0864826662641,0.25449248158552557,4249.5840541498765,31,56,9,US,0,retail,ach,0.0
48.24630818261482,2,167.862757304561,0.037907870441062176,5145.29136896232,26,48,18,US,0,retail,check,0.0
8547.113890128641,9,11.884203918281333,0.48181489208959627,813.2121022108511,23,39,8,US,0,business,ach,0.0
162.83469386698513,4,106.9512675927669,0.4202610135360011,1289.7700375040063,17,40,13,US,0,retail,ach,0.0
76.93926152094538,3,230.10285162208302,0.3901990108232714,1488.7360484564858,18,35,9,UK,0,retail,check,0.0
442.4285041287245,5,30.37768540934667,0.3248431056385839,13866.964286834871,24,49,10,US,0,retail,wire,0.0
127.96463915305343,3,34.20805515313326,0.1813394492511781,14368.097856384136,21,65,16,US,0,retail,cash,0.0
9263.877430508712,8,618.0968688894156,0.24819750842702343,11868.69740954617,17,64,10,CA,0,retail,ach,0.0
53.33250714151071,2,275.68658334204093,0.1649255525026792,1669.423067763072,25,22,17,US,0,retail,wire,0.0
672.1529842380684,1,117.75364566117608,0.04343776575510369,3320.7509909818955,27,33,14,US,0,business,wire,0.0
264.22286181718385,6,227.67425202551115,0.3271772821176891,9461.565257765105,28,18,8,UK,0,retail,ach,0.0
75.94782179129736,3,115.97160307761982,0.13398146171615644,123.103990489156,32,41,12,US,0,business,ach,0.0
6.345738783131121,4,31.051458739963234,0.04276813934018627,1008.4207374030829,16,55,12,US,0,retail,check,0.0
134.75618616867143,2,877.1840455528074,0.16281834206049453,29988.897178026193,22,46,17,UK,0,retail,ach,0.0
10.683863564008979,5,355.4555037289366,0.2728339448071736,332.37428677779684,24,55,12,DE,0,retail,ach,0.0
9135.342955940458,4,259.19722908629643,0.32484583524404,182.38193291841674,20,68,18,US,0,retail,wire,0.0
4.0559911096695425,4,546.3274215193941,0.20651171251187742,10995.739741829235,19,33,11,CA,0,retail,wire,0.0
9132.669097190179,9,29.263451016601135,0.5654090846177058,7351.069401718307,20,46,18,UK,0,retail,ach,0.0
89.59431361097154,2,216.7840798781068,0.10602041156837551,6853.827526425613,24,18,18,US,0,retail,ach,0.0
43.84842520977128,1,358.6559760407168,0.257123434819881,208.4860913848921,14,18,13,UK,0,retail,ach,0.0
8.979209429962175,1,155.4772138507133,0.3436086434991177,5937.691185919139,19,22,13,US,0,retail,ach,0.0
780.5094082830054,2,107.10007189471914,0.13599099030422326,15896.241649841575,26,59,10,US,0,business,ach,0.0
